s_m,x_center_m,y_center_m,z_center_m,x_line_m,y_line_m,offset_m,heading_rad,curvature_1_per_m,radius_m,slope_pct,width_m,drive_left_m,drive_right_m,limit_left_m,limit_right_m,segment_id,segment_kind,v_target_ms,v_target_kmh
235.19245089114878,-110.42977905273438,-319.9373016357422,8.62030029296875,-110.43416988097613,-319.9395487942355,-0.004932453136410928,-1.0977655059131555,-0.008677285647903293,115.24341142804624,-1.472529202123174,15.850024223327637,-7.700011253356934,8.150012969970703,-27.26776695251465,12.650030136108398,3,right,26.634743325153632,95.88507597055307
237.8687527532157,-109.23455810546875,-322.33148193359375,8.576263427734375,-109.23900504386435,-322.3336488955079,-0.0049468156456108255,-1.1173659027424625,-0.0066406109933610236,150.58855292077098,-1.7886312062048937,15.100021362304688,-6.950008392333984,8.150012969970703,-24.59282684326172,12.750030517578125,3,right,27.792452267428995,100.05282816274439
240.63214008015913,-108.04611206054688,-324.82568359375,8.522750854492188,-108.05028983738478,-324.82763526705975,-0.004611165581004541,-1.133767458137457,-0.00477655083850384,209.356088485228,-2.0035365766659874,14.450018882751465,-6.300005912780762,8.150012969970703,-21.830957412719727,12.750030517578125,3,right,28.939274252525333,104.1813873090912
243.48547354481698,-106.85282897949219,-327.4168395996094,8.463607788085938,-106.85616691084388,-327.4183575912235,-0.0036668902695986445,-1.1439826111870042,-0.003115162509095104,321.0105402464159,-2.0806215679826767,13.850016593933105,-5.750003814697266,8.10001277923584,-18.979236602783203,12.700030326843262,3,right,30.077574326311293,108.27926757472066
246.43097445539695,-105.64424133300781,-330.1022644042969,8.402084350585938,-105.64582446636349,-330.10296958815866,-0.0017330884284347675,-1.1517446855213875,-0.0025695519481491458,389.1729064751161,-2.0325302975492177,13.400014877319336,-5.300002098083496,8.10001277923584,-16.035377502441406,12.600029945373535,3,right,31.209122877669518,112.35284235961026
249.47029863621688,-104.41839599609375,-332.8827667236328,8.342071533203125,-104.41683083304102,-332.8820837589047,0.0017076815281156924,-1.159348409490446,-0.002551848106043225,391.87285388649275,-1.8554362919429357,13.00001335144043,-4.90000057220459,8.10001277923584,-12.99764633178711,12.400029182434082,3,right,32.33523154867921,116.40683357524516
252.6046587470408,-103.17646789550781,-335.76007080078125,8.287765502929688,-103.16975217022495,-335.7572053755233,0.007301481218468859,-1.1675086551880203,-0.002739037580989978,365.0917413256401,-1.5353567374344346,12.70001220703125,-4.649999618530273,8.050012588500977,-9.864757537841797,12.200028419494629,3,right,33.45687632992563,120.44475478773226
255.8349451481686,-101.92239379882812,-338.73667907714844,8.244735717773438,-101.9078197222075,-338.7306202687741,0.01578330980057434,-1.1768078204039096,-0.0030530728291550957,327.53886197884736,-1.055457292710149,12.500011444091797,-4.549999237060547,7.95001220703125,-6.8000078201293945,12.000027656555176,3,right,34.57479481911774,124.46926134882388
259.1615855809531,-100.66140747070312,-341.81495666503906,8.219100952148438,-100.63552788824781,-341.8045228342263,0.02790372042382052,-1.1875615260974073,-0.003499128010819086,285.78548624344756,-0.48482860058589594,12.450011253356934,-4.59999942779541,7.850011825561523,-6.750007629394531,11.75002670288086,3,right,35.68947826928224,128.48212176941607
262.58455318899144,-99.40167236328125,-344.9976806640625,8.212570190429688,-99.36034675662125,-344.981636831204,0.04433069296331742,-1.2004776537030648,-0.003926695537826985,254.66705792866114,-0.18157137829175607,12.360010623931885,-4.7099995613098145,7.65001106262207,-6.900008201599121,11.550025939941406,3,right,36.80121205201296,132.48436338724665
266.10468071694254,-98.15095520019531,-348.2881164550781,8.206512451171875,-98.08951710432945,-348.2652752451946,0.06554662838443644,-1.2148551635813651,-0.004296836590606645,232.7293530747968,-0.18686717099354322,12.270009994506836,-4.819999694824219,7.450010299682617,-7.1500091552734375,11.30002498626709,4,right,37.91051425416575,136.47785131499668
269.722014111173,-96.91697692871094,-351.68846130371094,8.199203491210938,-96.8304518904727,-351.657892334864,0.09176624705462309,-1.23118803290374,-0.004986358011023373,200.54717246320735,-0.22035502841830645,12.130009651184082,-4.930000305175781,7.200009346008301,-7.550010681152344,11.00002384185791,4,right,39.017606134270544,140.46338208337397
273.3763054286648,-95.73426818847656,-355.14605712890625,8.190475463867188,-95.61759503018435,-355.10743855348153,0.12289841428477798,-1.251149094016062,-0.005355329626344829,186.729869078578,-0.2598099817636035,11.940008640289307,-5.0400004386901855,6.900008201599121,-8.050012588500977,10.650022506713867,4,right,40.10499000408919,144.37796401472107
277.0183281030903,-94.62274169921875,-358.6143035888672,8.180252075195312,-94.47128520897051,-358.56736438876476,0.15856341616075129,-1.2702648212569536,-0.005439087851599661,183.85435706942945,-0.3047887505619462,12.07500696182251,-5.777500629425049,6.297506332397461,-8.650014877319336,10.200020790100098,4,right,41.16015069305223,148.17654249498804
280.6475445788944,-93.58345031738281,-362.0915069580078,8.168319702148438,-93.39301221606532,-362.0367243806984,0.19816104867020856,-1.2906931337245977,-0.006141222649462957,162.8340246037894,-0.4572317259012415,12.210004806518555,-6.515000343322754,5.695004463195801,-9.350017547607422,9.700018882751465,4,right,42.18535620071376,151.86728232256954
284.2639336964122,-92.62376403808594,-365.5781707763672,8.14715576171875,-92.3906495441123,-365.5171427950118,0.2409704998726792,-1.3147485768715483,-0.00720143287075406,138.8612541347331,-0.6257526329629615,12.3450026512146,-7.252500534057617,5.092502117156982,-10.150020599365234,9.150016784667969,4,right,41.31158584329071,148.72170903584654
287.86712211039634,-91.7593994140625,-369.07606506347656,8.123153686523438,-91.48055988041047,-369.01132747901846,0.2862559001466177,-1.3426699516828529,-0.008071945442175238,123.88587201978396,-0.7139375812453164,12.480000972747803,-7.9900007247924805,4.490000247955322,-11.00002384185791,8.500014305114746,4,right,40.271747626204835,144.9782914543374
291.45755905090306,-90.99911499023438,-372.58497619628906,8.095809936523438,-90.67227381875935,-372.51940607676426,0.3333535539718514,-1.3728069086694765,-0.0085112430384148,117.49165139411267,-1.1982920816626441,12.34445309638977,-8.554452896118164,3.7900002002716064,-11.850027084350586,7.700011253356934,4,right,39.20816763815219,141.1494034973479
295.03603275573363,-90.34814453125,-376.10325622558594,8.037353515625,-89.97173565138397,-376.039761296319,0.381726670386832,-1.403683484178813,-0.009043706180059397,110.57413632089408,-2.086622326482712,12.208906173706055,-9.118906021118164,3.0900001525878906,-12.500029563903809,6.900008201599121,4,right,38.118615198284864,137.22701471382553
