s_m,x_center_m,y_center_m,z_center_m,x_line_m,y_line_m,offset_m,heading_rad,curvature_1_per_m,radius_m,slope_pct,width_m,drive_left_m,drive_right_m,limit_left_m,limit_right_m,segment_id,segment_kind,v_target_ms,v_target_kmh
0.0,229.65682983398438,-254.4860076904297,4.532470703125,229.93193142712178,-255.05877148595934,-0.6354047938253692,0.44776822737266303,0.0017193995388543944,581.5983879269169,-1.4259953414611564,20.381997227668762,-18.781997680664062,1.5999995470046997,-46.499576568603516,1.5999995470046997,0,straight,53.33563766219789,192.0082955839124
9.003356984344835,237.68528747558594,-250.41319274902344,4.404083251953125,237.8516247180615,-250.74619935329284,-0.37223846754654577,0.46324859521968703,0.0007989120077400644,1251.702303021789,-1.326605297491018,19.632996439933777,-17.782997131347656,1.8499993085861206,-46.44957733154297,1.8499993085861206,0,straight,51.30999130767659,184.71596870763574
16.8176414783727,244.6762237548828,-246.9231414794922,4.307159423828125,244.73982927328177,-247.0504795320225,-0.1423398805430638,0.4632485418970395,-3.523696720887301e-05,28379.28684589491,-1.2083814751878086,18.73399579524994,-16.78399658203125,1.949999213218689,-46.349578857421875,1.949999213218689,0,straight,49.48470161440256,178.14492581184922
24.356672319731523,251.42103576660156,-243.55615234375,4.2183837890625,251.39894985391885,-243.51187862889992,0.04947675581173008,0.4627266438228471,-9.167867760478954e-05,10907.661695457935,-1.175991514936131,17.834996223449707,-15.78499698638916,2.049999237060547,-46.24958038330078,2.049999237060547,0,straight,47.657494182316206,171.56697905633834
31.633402623890287,257.9335021972656,-240.3109588623047,4.1329193115234375,257.84457679730764,-240.13232911971005,0.19954025081951623,0.4619018262251155,1.236213153871929e-05,80892.19863644967,-1.201314784610158,16.935996532440186,-14.78599739074707,2.1499991416931152,-46.14958190917969,2.1499991416931152,0,straight,45.82481220317645,164.9693239314352
38.58780675372645,264.1579895019531,-237.21060180664062,4.0475921630859375,264.02139500822597,-236.93684892630424,0.3059390383868069,0.4628233252050657,0.0004227111434779718,2365.681660938072,-1.1926462521855807,16.036996841430664,-13.78699779510498,2.2499990463256836,-46.049583435058594,2.2499990463256836,0,straight,44.00203316465646,158.40731939276327
45.18804605498571,270.0581512451172,-234.2533416748047,3.9710235595703125,269.89188452436974,-233.9239300497747,0.3689940936288879,0.46743119828014984,0.0014981123051177186,667.5066993201301,-1.1488015770499516,15.137997150421143,-12.78799819946289,2.349998950958252,-45.9495849609375,2.349998950958252,0,straight,42.1993233182083,151.9175639455499
51.43166601431598,275.61549377441406,-231.4084014892578,3.89996337890625,275.43423531492857,-231.0615160936704,0.3913874126832625,0.4815097100673548,0.0037455484327405045,266.98359878591407,-1.2322991106098746,14.288997411727905,-11.7889986038208,2.4999988079071045,-45.79958724975586,2.4999988079071045,0,straight,40.42008288205514,145.5122983753985
57.34796414443856,280.82212829589844,-228.59994506835938,3.82177734375,280.63700027148184,-228.27054881843722,0.377854833086965,0.5120264730192597,0.006859517260601432,145.78285351705952,-1.4203327758430029,13.58999752998352,-10.789999008178711,2.7999985218048096,-45.549591064453125,2.7999985218048096,1,left,38.65863133915375,139.1710728209535
63.05905322376555,285.73780822753906,-225.6938934326172,3.7352142333984375,285.5599477321901,-225.41056793926376,0.33452606922291606,0.5605817847163439,0.009458766568196969,105.722029694895,-1.6454432513142436,13.090997457504272,-9.790999412536621,3.2999980449676514,-45.249595642089844,3.2999980449676514,1,left,36.8785560418643,132.76280175071147
68.61108395344887,290.35899353027344,-222.61817932128906,3.6368560791015625,290.20361088716953,-222.39972675085968,0.26807702494833663,0.6182615488869245,0.011172112909881286,89.50858338672357,-1.9653747562770718,12.891997337341309,-8.791999816894531,4.099997520446777,-44.84960174560547,4.099997520446777,1,left,35.06152997564798,126.22150791233273
74.08888357715736,294.7224884033203,-219.3087615966797,3.5187225341796875,294.60566983034585,-219.16538851434683,0.1849389621724264,0.6836928018282068,0.01227598309013754,81.45987108791267,-2.404728373737303,12.891997814178467,-7.793000221252441,5.098997592926025,-44.349609375,5.300002098083496,1,left,33.44801742288162,120.41286272237383
79.51424366252166,298.813232421875,-215.74790954589844,3.3749237060546875,298.7512445150138,-215.6816461883775,0.09073771623189136,0.752073985794453,0.012538124537188722,79.75674488109833,-2.952190642335495,12.891997814178467,-6.794000148773193,6.097997665405273,-43.649620056152344,6.850008010864258,1,left,33.096512417428585,119.1474447027429
84.89003908207933,302.6181182861328,-211.9542999267578,3.2001495361328125,302.6253905952852,-211.96109751523989,-0.009954581336190484,0.819125534063854,0.012608889415434144,79.30912605006525,-3.5423181206488685,12.891997814178467,-5.795000076293945,7.0969977378845215,-42.79963302612305,8.950016021728516,1,left,33.00350795251311,118.8126286290472
90.2196570087117,306.12840270996094,-207.9491729736328,2.9959716796875,306.21644515637337,-208.02091744055602,-0.11357262392133569,0.8870448498646152,0.013075279322219219,76.48020171168884,-4.080738997993799,12.891997814178467,-4.796000003814697,8.09599781036377,-41.79964828491211,11.807498931884766,1,left,32.409552454613355,116.67438883660807
95.50342567096192,309.3235168457031,-203.74713134765625,2.76727294921875,309.5012635875694,-203.8721381793939,-0.21730304237433792,0.9578682582363989,0.013127856112482503,76.17390009699749,-4.714005723695355,12.891997575759888,-3.7970001697540283,9.09499740600586,-40.599666595458984,17.085315704345703,1,left,32.34458755235818,116.44051518848944
100.7448768068555,312.19740295410156,-199.3719482421875,2.5001373291015625,312.46987210934066,-199.53733849742179,-0.3187371598718335,1.0252416951708325,0.013029311349888092,76.75002716153443,-5.4836424293280785,12.448481321334839,-3.057481527328491,9.390999794006348,-39.04969024658203,22.318954467773438,1,left,32.46667326715988,116.88002376177556
105.95582885253556,314.75050354003906,-194.839599609375,2.1943359375,315.1197045846994,-195.03028765045022,-0.4155374115375995,1.0940452090407646,0.014041298719480497,71.21848341653957,-6.296290341972066,10.450481653213501,-2.058481454849243,8.392000198364258,-37.249717712402344,27.519926071166992,1,left,31.27482455974381,112.58936841507771
111.14964834447508,316.9649200439453,-190.1544952392578,1.8451690673828125,317.4303710630027,-190.35100325647173,-0.505232671123852,1.1713095450185356,0.014292175492796363,69.96835439811291,-6.070158276737023,8.843000173568726,-1.4500000476837158,7.39300012588501,-35.34974670410156,32.70099639892578,1,left,30.999119008508657,111.59682843063116
116.33147241937145,318.7745056152344,-185.30703735351562,1.564361572265625,319.328359837536,-185.49578541336288,-0.5851327453300409,1.2423497229812837,0.015338789408535572,65.19419318994824,-4.163252391196015,7.254000127315521,-0.8600000739097595,6.394000053405762,-32.69978713989258,37.87420654296875,1,left,29.92285162331206,107.72226584392341
