s_m,x_center_m,y_center_m,z_center_m,x_line_m,y_line_m,offset_m,heading_rad,curvature_1_per_m,radius_m,slope_pct,width_m,drive_left_m,drive_right_m,limit_left_m,limit_right_m,segment_id,segment_kind,v_target_ms,v_target_kmh
0.0,-605.7315216064453,-182.06080627441406,11.7252197265625,-608.1894902383427,-182.05624803371265,-2.4579728584648897,-1.5726507993934815,6.692667572847855e-05,14941.725240575208,-0.0010975592358663177,14.100030541419983,-12.800030708312988,1.2999998331069946,-18.60000228881836,55.06892013549805,0,straight,80.0,288.0
9.731732005625398,-605.746826171875,-191.7925262451172,11.725112915039062,-608.1956602829179,-191.78957990413699,-2.4488358835030293,-1.5719994869212646,5.190334740792779e-05,19266.580094355504,-0.0006265892677381757,14.100030541419983,-12.800030708312988,1.2999998331069946,-18.60000228881836,55.07362747192383,0,straight,80.0,288.0
19.427003256025557,-605.7561950683594,-201.48779296875,11.72509765625,-608.1723761959696,-201.48575116805253,-2.4161819903248025,-1.571641379422832,4.376011085505116e-05,22851.86167174829,-0.0004742374810295935,14.100030541419983,-12.800030708312988,1.2999998331069946,-18.650001525878906,55.07917785644531,0,straight,80.0,288.0
29.08572733676278,-605.7626495361328,-211.14651489257812,11.725021362304688,-608.1228903710665,-211.14567293566208,-2.360240985107226,-1.5711530517815477,7.813317242798268e-05,12798.66116945047,-0.00015594312887667883,14.100030541419983,-12.800030708312988,1.2999998331069946,-18.650001525878906,55.08550262451172,0,straight,80.0,288.0
38.7090033480526,-605.7604370117188,-220.76979064941406,11.725067138671875,-608.0429750656855,-220.7712961200612,-2.2825385504407762,-1.5701367669570132,0.00016765391691485332,5964.668278569786,0.00031712416271867383,14.100030541419983,-12.800030708312988,1.2999998331069946,-18.650001525878906,55.092525482177734,0,straight,80.0,288.0
48.28900118964649,-605.7457427978516,-230.3497772216797,11.725082397460938,-607.9314081892195,-230.35602260401387,-2.1856743142160817,-1.5679389061845446,0.0003212245013314158,3113.0875629199704,0.000716741101625118,14.05003035068512,-12.750030517578125,1.2999998331069946,-18.650001525878906,55.10017013549805,0,straight,80.0,288.0
57.869082967213565,-605.6997375488281,-239.92974853515625,11.725204467773438,-607.7726307614263,-239.94387399180027,-2.072941340067529,-1.5639820645247198,0.00041839881118362066,2390.0641523599716,0.002961195012940454,13.90002977848053,-12.600029945373535,1.2999998331069946,-18.60000228881836,55.108367919921875,0,straight,80.0,288.0
67.40499782926545,-605.6149291992188,-249.4652862548828,11.72564697265625,-607.5626962265052,-249.48643020853476,-1.9478817878301626,-1.5599412692499302,0.00040010040964179316,2499.372597232011,0.0065871192397315426,13.800029158592224,-12.450029373168945,1.3499997854232788,-18.500003814697266,55.117042541503906,0,straight,80.0,288.0
76.8925542059328,-605.4952239990234,-258.95208740234375,11.726455688476562,-607.3089163955927,-258.9782568854132,-1.8138811844267217,-1.5563684848644308,0.00041744661587381215,2395.5158862810977,0.008140625552999214,13.750028491020203,-12.300028800964355,1.4499996900558472,-18.350006103515625,55.126121520996094,0,straight,80.0,288.0
86.33191058879338,-605.3390655517578,-268.39015197753906,11.727188110351562,-607.012645513991,-268.4215388009097,-1.6738742553338937,-1.5520442235049774,0.0005056039224114045,1977.8327573699294,0.009245492241927167,13.650027632713318,-12.100028038024902,1.5499995946884155,-18.200008392333984,55.135528564453125,0,straight,80.0,288.0
95.72271827962865,-605.1395111083984,-277.7788391113281,11.728195190429688,-606.6692692679087,-277.8154744080861,-1.5301967754366548,-1.546852479748173,0.00035163813315675085,2843.8326384648017,0.013209187443363746,13.600026726722717,-11.90002727508545,1.699999451637268,-17.95001220703125,55.14519500732422,0,straight,80.0,288.0
105.06412150625695,-604.9066772460938,-287.1173400878906,11.729660034179688,-606.2908035924194,-287.1524475250905,-1.3845715130462983,-1.5454374342219637,-8.267972676644086e-05,12094.863385614055,0.016382837845896336,13.550025582313538,-11.650026321411133,1.8999992609024048,-17.700016021728516,55.15504455566406,0,straight,80.0,288.0
114.35482225287652,-604.6824493408203,-296.40533447265625,11.731246948242188,-605.9203274708196,-296.43310105853936,-1.238189504083328,-1.548369296390753,-0.00019401952779930787,5154.120367896119,0.01663135076668265,13.550024509429932,-11.400025367736816,2.1499991416931152,-17.500019073486328,55.16500473022461,0,straight,80.0,288.0
123.59428326046029,-604.4807434082031,-305.64259338378906,11.732742309570312,-605.5723257662598,-305.66634041769237,-1.0918406321620164,-1.5490450694879612,0.00017646399957164938,5666.878243876433,0.01639733869155391,13.550023555755615,-11.200024604797363,2.349998950958252,-17.350021362304688,55.17500305175781,0,straight,80.0,288.0
132.78136462587287,-604.2646636962891,-314.82713317871094,11.734268188476562,-605.2104075689103,-314.8513992697984,-0.9460551335822477,-1.5451437492304114,0.0005050697388023356,1979.9245988708117,0.018165354879229323,13.600022554397583,-11.00002384185791,2.599998712539673,-17.200023651123047,55.18496322631836,0,straight,80.0,288.0
141.91524281607042,-604.0061340332031,-323.9573516845703,11.736068725585938,-604.8069810990729,-323.9821827630004,-0.8012319298232016,-1.539800239321792,0.0006520604234717536,1533.6002063669466,0.0220476962628946,13.600021362304688,-10.750022888183594,2.8499984741210938,-16.900028228759766,55.1948127746582,0,straight,80.0,288.0
150.99460449402753,-603.6960906982422,-333.0314178466797,11.73828125,-604.3533701729425,-333.05609148779627,-0.6577424240751577,-1.5332749040341633,0.0007968549986270834,1254.9334593155831,0.02393453748146257,13.650019884109497,-10.450021743774414,3.199998140335083,-16.600032806396484,55.2044792175293,0,straight,80.0,288.0
